idn,title,auftraggeber-per-idn,auftraggeber-per-name,auftraggeber-inst-idn,auftraggeber-inst-name
1236176421,Programmheft 1964 - Musik des Spätmittelalters und der Renaissance,,,050873059,Freunde Alter Musik in Basel
1236176499,Programmheft 1964 - Musik um Shakespeare,,,050873059,Freunde Alter Musik in Basel
1236176545,Programmheft Viertes Konzert 1964 Jean-Philippe Rameau und Jean-Marie Leclair,,,050873059,Freunde Alter Musik in Basel
1236176618,"Briefumschlag mit Firmenkopf Haupt - Buchdruckerei, Buchbinderei, Kunstverlag",,,1204148635,Haupt
1236176812,Probedruck einer Illustration mit der Darstellung der ersten Seite von Typografische Entwurfstechnik,,,1204142432,Reinhold Publishing Corporation
1236176863,"Montiertes Titelblatt von Schönste, liebe mich",,,007482450,Verlag Lambert Schneider
123617691X,Probedruck einer Illustration mit der Darstellung des Phoebus-Plakates Kiki für Asymmetric Typography,,,1204142432,Reinhold Publishing Corporation
1236176936,Klebeentwurf einer Illustration mit der Darstellung des Phoebus-Plakates Kiki für Asymmetric Typography,,,1204142432,Reinhold Publishing Corporation
1236176952,Programmheft Drei Konzerte - Studienwoche für fortgeschrittene Instrumentalisten,,,007040725,Musik-Akademie Basel
1236177320,Korrigierte Kopien zu Verlegermarke für Office du Livre,,,968184243,Office du Livre
1236177347,Kopie von Entwurf zu Verlegermarke für Office du Livre,,,968184243,Office du Livre
1236177401,Kopie und Vergrößerungen von Entwürfen zu Verlegermarke für Office du Livre,,,968184243,Office du Livre
1236177452,Entwurfszeichnungen auf Transparentpapier von Verlegermarke für Office du Livre,,,968184243,Office du Livre
1236177509,Entwürfe von Verlegermarke für Office du Livre,,,968184243,Office du Livre
1236177541,Briefbogen und Kurzbriefbogen für Office du Livre,,,968184243,Office du Livre
1236177673,Belegexemplare vom Corporate Design für Adolf Wirz AG Werbeberatung,,,1086469933,Adolf Wirz AG Werbeberatung
1236177762,Entwurfszeichnungen von Verlegermarke für Office du Livre,,,968184243,Office du Livre
1236178157,Montierter Probedruck für einen Briefkopf für Franz Haniel AG,,,007526652,Franz Haniel & Cie. GmbH
1236178181,Negativ für Fotokopie für einen Briefkopf für Franz Haniel AG,,,007526652,Franz Haniel & Cie. GmbH
1236178203,Probedruck für einen Briefkopf für Franz Haniel AG,,,007526652,Franz Haniel & Cie. GmbH
1236178823,Belegexemplare vom Corporate Design für Gesellschaft zur Beförderung des Guten und Gemeinnützigen Basel,,,004715969,Gesellschaft zur Beförderung des Guten und Gemeinnützigen Basel
1236178920,Entwurf und Klischeeabzug von Firmenzeichen für Gesellschaft zur Beförderung des Guten und Gemeinnützigen Basel,,,004715969,Gesellschaft zur Beförderung des Guten und Gemeinnützigen Basel
1236179439,"Korrekturfahne und Druckfreigabe von Titelschild für Von Torheit, List und Schelmen",,,051070510,Birkhäuser
1236179471,"Entwurf, Probedruck und vergrößerte Reproduktion von Initialen für Von Torheit, List und Schelmen",,,051070510,Birkhäuser
1236179536,"Entwurfszeichnungen und Druckfreigabe von Titelblatt für Von Torheit, List und Schelmen",,,051070510,Birkhäuser
1236179609,Entwurf für einen Bucheinband,,,004794966,Schweizerisches Vereinssortiment
1236179641,Entwurfsskizzen für den Bucheinband von Schweizer Bücherkatalog 1959/60,,,004794966,Schweizerisches Vereinssortiment
1236179676,Eingesendete und auf Papier montierte Entwürfe für den Bucheinband von Schweizer Bücherkatalog 1959/60,,,004794966,Schweizerisches Vereinssortiment
1236179714,"Entwürfe für den Bucheinband von Schweizer Bücherkatalog 1959/60, schwarz",,,004794966,Schweizerisches Vereinssortiment
1236179730,Entwurf für den Bucheinband von Schweizer Bücherkatalog 1959/60 um eine alte Ausgabe gelegt,,,004794966,Schweizerisches Vereinssortiment
1236179889,"Probedruck für den Schutzumschlag von Geschichte der Schrift in Bildern, 4. Auflage",,,007566204,Doktor Ernst Hauswedell und Co.
1236179919,"Retusche und Klischee einer Illustration für Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236179943,"Satzvorlage einer Illustration für Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236179994,Korrekturfahne einer Illustration für Chinese and Japanese Polychrome Woodcuts,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180038,"Satzvorlage einer Illustration für Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180089,"Entwurf einer Illustration für Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180127,"Entwürfe, Korrekturfahnen und Klischee von Illustrationen für Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180151,Handschriftlicher Entwurf auf Blindband für den Umschlag von Chinese and Japanese Polychrome Woodcuts,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180194,Handschriftlicher Entwurf für den Umschlag von Chinese and Japanese Polychrome Woodcuts,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180224,"Handschriftlicher Entwurf für den Umschlag von Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180291,"Probedruck für das Titelblatt von Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch mit Versandliste",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180321,"Briefumschlag für den Versand von Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180364,"Korrigierter Probedruck für den Umschlag von Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180402,"Probedruck für das Titelblatt von Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180445,"Probedruck für das Titelblatt von Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
123618047X,"Klebeentwurf mit Anweisungen für Typographie zu Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180496,"Klebeentwurf für Typographie zu Der chinesische und der japanische mehrfarbige Holztafeldruck, technisch",,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180518,Typoskript für die Titelei von La technique de l'estampe polychrome en Chine et au Japon,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180526,Probedruck für die Titelei von La technique de l'estampe polychrome en Chine et au Japon,,,1073001288,"Bucherer, Kurrus & Co., Papiere en gros"
1236180577,"Probedruck für Titelschild von Von Torheit, List und Schelmen",,,051070510,Birkhäuser
1236180623,Musik-Akademie der Stadt Basel,,,007040725,Musik-Akademie Basel
1236180623,Musik-Akademie der Stadt Basel,,,007320574,Musik-Akademie
1236180623,Musik-Akademie der Stadt Basel,,,004239679,Schola Cantorum Basiliensis
1236180682,Musik-Akademie der Stadt Basel,,,007040725,Musik-Akademie Basel
1236180682,Musik-Akademie der Stadt Basel,,,007320574,Musik-Akademie
