idn,title,ts-idn,ts
1236170946,Adressetikett mit Firmenzeichen für Georg-Rentsch-Söhne,041311663,Etikett
1236170946,Adressetikett mit Firmenzeichen für Georg-Rentsch-Söhne,042441862,Anschrift
1236170954,Entwurfsskizzen von Titelblatt und Verlegermarke für Leben und Werk des Typographen Jan Tschichold,041855760,Titelblatt
1236170954,Entwurfsskizzen von Titelblatt und Verlegermarke für Leben und Werk des Typographen Jan Tschichold,041878655,Verlegermarke
1236170954,Entwurfsskizzen von Titelblatt und Verlegermarke für Leben und Werk des Typographen Jan Tschichold,041524586,Entwurfszeichnung
1236170970,Druckbögen für Illustrationen von Chinese Colour Prints from the Ten Bamboo Studio,04123412X,Illustration
1236170970,Druckbögen für Illustrationen von Chinese Colour Prints from the Ten Bamboo Studio,943626668,Probedruck
1236170970,Druckbögen für Illustrationen von Chinese Colour Prints from the Ten Bamboo Studio,951550128,Druckbogen
1236170997,Corporate Design für Graphia Hans Gundlach GmbH Bielefeld,042757517,Briefbogen
1236170997,Corporate Design für Graphia Hans Gundlach GmbH Bielefeld,042275423,Briefkopf
1236170997,Corporate Design für Graphia Hans Gundlach GmbH Bielefeld,041271378,Formular
1236170997,Corporate Design für Graphia Hans Gundlach GmbH Bielefeld,041466144,Briefumschlag
1236171012,Papierproben und Entwurfszeichnungen für Der chinesische Stempel,040131343,Druckwerk
1236171012,Papierproben und Entwurfszeichnungen für Der chinesische Stempel,040445224,Papier
1236171012,Papierproben und Entwurfszeichnungen für Der chinesische Stempel,041524586,Entwurfszeichnung
1236171020,Blindband für Der chinesische Stempel,942084292,Umschlag
1236171020,Blindband für Der chinesische Stempel,041212088,Entwurf
1236171047,Korrigierter Probedruck von Der chinesische Stempel,040131343,Druckwerk
1236171047,Korrigierter Probedruck von Der chinesische Stempel,943626668,Probedruck
1236171047,Korrigierter Probedruck von Der chinesische Stempel,042053587,Korrektur
1236171063,Der chinesische Stempel [Manuskript],040131343,Druckwerk
1236171063,Der chinesische Stempel [Manuskript],041262735,Manuskript
123617108X,Entwurf für die Illustration von Schutzumschlag Drittel der Menschheit,041802810,Schutzumschlag
123617108X,Entwurf für die Illustration von Schutzumschlag Drittel der Menschheit,04123412X,Illustration
123617108X,Entwurf für die Illustration von Schutzumschlag Drittel der Menschheit,041212088,Entwurf
1236171098,Probedrucke für Das Alphabet des Damianus Moyllus,965476197,Heft
1236171098,Probedrucke für Das Alphabet des Damianus Moyllus,04123412X,Illustration
1236171098,Probedrucke für Das Alphabet des Damianus Moyllus,943626668,Probedruck
123617111X,"Probedruck einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",04123412X,Illustration
123617111X,"Probedruck einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",943626668,Probedruck
1236171128,"Probedruck einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",04123412X,Illustration
1236171128,"Probedruck einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",943626668,Probedruck
1236171144,"Klebeentwurf einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",04123412X,Illustration
1236171144,"Klebeentwurf einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",041212088,Entwurf
1236171179,"Klischeevorlage einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",04123412X,Illustration
1236171179,"Klischeevorlage einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",941715787,Klischee
1236171179,"Klischeevorlage einer Illustration des Moyllus-Alphabets für Typographische Monatsblätter, Nr. 4, 1972",041886828,Vorlage
1236171187,Zwei montierte Bögen mit Illustrationen aus Das Alphabet des Damianus Moyllus,950749974,Montage
1236171187,Zwei montierte Bögen mit Illustrationen aus Das Alphabet des Damianus Moyllus,04123412X,Illustration
1236171187,Zwei montierte Bögen mit Illustrationen aus Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236171209,Farbige Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus,04123412X,Illustration
1236171209,Farbige Probedrucke für Illustrationen von Das Alphabet des Damianus Moyllus,943626668,Probedruck
1236171241,"Broschur mit montierten Probedrucken, Skizzen und Satzanweisungen für Das Alphabet des Damianus Moyllus (Beilage Der Druckspiegel)",965476197,Heft
1236171241,"Broschur mit montierten Probedrucken, Skizzen und Satzanweisungen für Das Alphabet des Damianus Moyllus (Beilage Der Druckspiegel)",04146706X,Broschur
1236171241,"Broschur mit montierten Probedrucken, Skizzen und Satzanweisungen für Das Alphabet des Damianus Moyllus (Beilage Der Druckspiegel)",041212088,Entwurf
1236171241,"Broschur mit montierten Probedrucken, Skizzen und Satzanweisungen für Das Alphabet des Damianus Moyllus (Beilage Der Druckspiegel)",041816684,Skizze
1236171268,Korrigierter Klebeentwurf für den Zeitschriftenaufsatz Das Alphabet des Damianus Moyllus (Beilage Der Druckspiegel),041254244,Zeitschriftenaufsatz
1236171268,Korrigierter Klebeentwurf für den Zeitschriftenaufsatz Das Alphabet des Damianus Moyllus (Beilage Der Druckspiegel),041212088,Entwurf
1236171268,Korrigierter Klebeentwurf für den Zeitschriftenaufsatz Das Alphabet des Damianus Moyllus (Beilage Der Druckspiegel),04269003X,Layout
1236171268,Korrigierter Klebeentwurf für den Zeitschriftenaufsatz Das Alphabet des Damianus Moyllus (Beilage Der Druckspiegel),042067774,Notiz
1236171284,Zwei montierte Bögen mit Text und Illustrationen aus Das Alphabet des Damianus Moyllus,950749974,Montage
1236171284,Zwei montierte Bögen mit Text und Illustrationen aus Das Alphabet des Damianus Moyllus,04059596X,Text
1236171284,Zwei montierte Bögen mit Text und Illustrationen aus Das Alphabet des Damianus Moyllus,04123412X,Illustration
