idn,title,ort-idn,ort-name
1236296222,Briefumschlag mit Skizze für den neuen Werbestempel,041277937,München
1236296281,Probedrucke der Transito,040017834,Amsterdam
1236296397,Schriftproben der Transito,040017834,Amsterdam
1236296524,Einbanddecke für Hausierer,040057283,Berlin
1236296583,Der Konstruktivist El Lissitzky,041277937,München
1236296664,Probedruck und Skizze von Verlegermarke für Insel-Verlag,041277937,München
1236296672,Die @Bücher des Insel-Verlags,040352064,Leipzig
1236296737,Drei Entwürfe für den Umschlag von Die Bücher des Insel-Verlages 1931,041277937,München
1236296826,Drucksachen für Dr. Wilhelm Horn Arzt und Geburtshelfer,041277937,München
1236296893,Einbanddecke für Das geduldige Albion,040057283,Berlin
1236297024,Klebeentwurf für den Umschlag von Kleine Schreiblehre für Setzer,041277937,München
1236297083,Entwurf für den Schutzumschlag von Amok,041277937,München
1236297148,Entwurf für den Bucheinband von David Octavius Hill,041277937,München
1236297245,Entwurf für den Umschlag von Die Bücher des Insel-Verlages 1931,041277937,München
1236297466,Entwurf für den Umschlag von Die Bücher des Insel-Verlages 1931,041277937,München
1236297474,Entwurf für den Buchrücken von Schweres Blut,041277937,München
1236297482,Entwurf für den Bucheinband von Sichel am Himmel,041277937,München
1236297490,Manuskripte und Typoskripte von Artikeln zur Normierung,041277937,München
1236297504,Schriftproben einer Egyptienne,,
1236297512,Entwurfszeichnungen für Titelblatt Die Jugendherberge - Zeitschrift des Reichsverband für Deutsche Jugendherbergen,041277937,München
1236297563,Entwurfszeichnungen für Plakat Lindauers Bellisana,041277937,München
123629758X,Probedruck für Titelseite von Bild und Schrift - Wettbewerb des Kreises München im Bildungsverband der deutschen Buchdrucker,041277937,München
1236297601,Probedruck für den Umschlag von Der Cicerone,040352064,Leipzig
1236297628,Satzvorlage für eine Illustration mit einem Palakt von László Moholy-Nagy,041277937,München
1236297652,Probedruck von Werbeprospekt Moderne Fensterdekorationen,041277937,München
1236297679,Werbeprospekt Ankündigung der Buchreihe Fototek mit Bestellschein,041277937,München
1236297695,Korrekturfahne von Geschäftskarte für Fotograf Wasow,041277937,München
1236297717,Entwurf von Umschlag für Eine Stunde Druckgestaltung,041277937,München
1236297725,Probedruck für den Bucheinband von Arbeiter in USA,040352064,Leipzig
1236297733,Entwurf für den Umschlag von tfg - typo foto grafik,041277937,München
1236297741,Entwurf für das Titelblatt von Der Cicerone,041277937,München
1236297768,Entwurf für den Bucheinband von Flucht aus der Hölle des Faschismus,041277937,München
1236297776,Klischeeabzug von Illustration Schmale Grotesk - Leicht und schnell konstruierbare Schrift,041277937,München
1236297784,Werbeplakate für Das Rheingold 1930-1932,041277937,München
1236297792,Skizze für ein Kalenderblatt Monatsübersicht Februar 1931,041277937,München
1236297814,Korrigierter Probedruck für den Bucheinband von Moholy-Nagys 60 Fotos,041277937,München
1236297822,Probedruck für den Bucheinband von Biermanns 60 Fotos,040057283,Berlin
1236297849,Montierter Probedruck der Schmalen Grotesk für Kleine Schreiblehre für Setzer,041277937,München
1236297873,Korrekturfahne für ein Wappenschild mit Gewehr,,
1236297903,Entwurfszeichnungen für den Umschlag von tfg - typo foto grafik,041277937,München
1236297938,Bucheinband für Arbeiter in USA,040352064,Leipzig
1236297946,Gegenüberstellung zweier typografischer Lösungen mit Titelblättern von Antiquariatskatalog K. F. Koehler,040352064,Leipzig
1236297962,"Probedruck der Titelei von Gesammelte Gedichte, Erster Band",040352064,Leipzig
1236297970,Entwurfszeichnung und Probedruck für den Bucheinband von handbuch der neuen typografie,041277937,München
1236297997,Verkleinerter Nachdruck von Plakat Lindauers Bellisana,041277937,München
1236298004,Wettbewerbsbeitrag Entwurf für Zeitschriftenumschlag von die form,041277937,München
1236298039,Druckvorlage Werbeplakat München Sommer 1930,041277937,München
1236298047,Einbanddecke für Laubenkolonie Erdenglück,040057283,Berlin
1236298063,Einbanddecke für Die Hungernden,040057283,Berlin
1236298071,Probedrucke für eine Illustration in einem Lehrbuch,,
123629808X,Einbanddecke für Der Dollar steigt,040057283,Berlin
1236298098,Entwurf für den Bucheinband von Flucht aus der Hölle des Faschismus,041277937,München
123629811X,Bild und Schrift - Wettbewerb des Kreises München im Bildungsverband der deutschen Buchdrucker,041277937,München
1236298136,Tafeln mit Schriftproben für versuch einer neuen schrift,041277937,München
1236298144,Entwurfszeichnungen der Transito,041277937,München
1236298160,Entwurfszeichnungen verschiedener Schrifttypen,041277937,München
1236298160,Entwurfszeichnungen verschiedener Schrifttypen,040046176,Basel
1236298179,Probedruck von Schablonenschrift für die Stempel AG,040181189,Frankfurt am Main
1236298187,Entwurfszeichnungen verschiedener Schrifttypen,041277937,München
1236298209,Entwurfszeichnungen von Schablonenschrift für die Stempel AG,041277937,München
1236298233,Bestellschein zu Eine Stunde Druckgestaltung,040057283,Berlin
1236298292,Entwurfszeichnung von Umschlägen für die Schaubücher-Reihe,041277937,München
1236298314,Entwürfe für den Buchrücken von Die moderne Naturwissenschaft und der Kosmos,041277937,München
1236298330,Einbanddecke für Jenseits,040046176,Basel
1236298349,"Entwurf von Tschicholds Beitrag zum Cover-Designwettbewerb von ""die form""",041277937,München
1236298373,Entwurf von Umschlag für Schaubücher-Reihe,041277937,München
1236298381,Entwurf für das Titelblatt von Foto-Auge,041277937,München
1236298403,Entwurfsskizze von Logo für die Schaubücher-Reihe,041277937,München
1236298438,"Unserem hochverehrten Gönner, Herrn Direktor Heinrich Mielcke die herzlichen Glückwünsche zum 70. Geburtstag",041277937,München
1236298446,Urkunden zur Verleihung der bronzenen Plakette zur Anerkennung hervorragender bergsteigerischer Leistungen,041277937,München
1236298462,Vordruck Anerkennungsurkunde für Schülerinnen,041277937,München
1236298497,Faltblatt Programm Werkbund-Ausstellung Stuttgart 1929 - Film und Foto,040582825,Stuttgart
1236298519,Probedruck für Werbeanzeige Werkbund-Ausstellung Stuttgart 1929 - Film und Foto,040057283,Berlin
1236298543,Briefbogen für Werkbund-Ausstellung Stuttgart 1929 - Film und Foto,040582825,Stuttgart
1236298586,Entwürfe von Umschlägen für die Schaubücher-Reihe,041277937,München
1236298594,Briefumschläge für Akademisch-Politischer Club e.V.,041277937,München
1236298616,Vergleich einer alten und neuen typografischen Lösung einer Zahlkarte für den Artikel Tabellen- und Formblattsatz,041277937,München
1236298640,Bestellschein zu Eine Stunde Druckgestaltung; Foto-Auge; Schriftschreiben für Setzer,040057283,Berlin
1236298691,Bestellschein zu Foto-Auge,040582825,Stuttgart
1236298713,"Kontaktabzug Transito, Versuch einer neuen Schrift und Koch-Grotesk",,
1236298748,Phoebus-Palast,041277937,München
1236298772,Foto der Buchreihe Deutsche Vergangenheit,040352064,Leipzig
1236298829,Probedruck von Briefbogen für Gesellschafts- und Wirtschaftsmuseum Wien,040660095,Wien
1236298837,Entwürfe für den Buchrücken von Jenseits,041277937,München
1236298888,Entwurf für den Bucheinband von Orlando,041277937,München
1236298918,Entwurf für den Bucheinband von Orlando,041277937,München
1236299140,Entwurfszeichnungen für Transito und andere Schablonenschrift-Typen,041277937,München
1236299159,Probedruck von Werbeanzeige weihnachts ausstellung 1928 deutsche werkstätten AG,041277937,München
1236299167,Entwürfe und Entwurfsskizzen für den Bucheinband von Heinrich von Kleists Sämtliche Werke,041277937,München
1236299175,Entwurfsskizzen für den Bucheinband von Die Geschichte der Brüder Chamade,041277937,München
1236299183,"Briefbogen für Jan Tschichold, Voitstraße 8/1 in Briefumschlag",041277937,München
1236299213,Das September-Programm der Kulturfilmbühne im Goethesaal,041277937,München
1236299221,Bestellschein Vorzugs-Angebot für Die Neue Typographie,040057283,Berlin
1236299248,Entwurf von Umschlag für Nachrichten der Deutsche Linoleum-Werke AG - Heft 3,041277937,München
1236299256,Korrekturfahne von Empfehlungskarte für Die neue Typographie,041277937,München
1236299280,Entwurf für den Umschlag von Jürgen,040046176,Basel
1236299310,"Briefbogen für Jan Tschichold, Voitstraße 8/1",041277937,München
1236299329,Probedruck von Werbeanzeige weihnachts ausstellung 1928 deutsche werkstätten AG,041277937,München
1236299337,Empfehlungskarte für Die neue Typographie,041277937,München
1236299337,Empfehlungskarte für Die neue Typographie,040057283,Berlin
1236299345,"Briefbogen für Jan Tschichold, Voitstraße 8/1",041277937,München
1236299361,Fotogramme für den Umschlagentwurf von Insel-Almanach 1929,041277937,München
